latitude,longitude,city,state,county,zip_code,fips_code
39.9537,-74.1979,Toms River,NJ,Ocean County,08753,34029
48.8465,-122.591,Ferndale,WA,Whatcom County,98248,53073
48.7595,-122.4882,Bellingham,WA,Whatcom County,98225,53073
34.1055,-117.5964,Rancho Cucamonga,CA,San Bernardino County,91730,06071
46.2386,-119.1086,Pasco,WA,Franklin County,99301,53021
46.2113,-119.13720000000001,Kennewick,WA,Benton County,99336,53005
39.0177,-94.6169,Mission Hills,KS,Johnson County,66208,20091
48.4758,-122.3304,Burlington,WA,Skagit County,98233,53057
48.5038,-122.2361,Sedro Woolley,WA,Skagit County,98284,53057
48.42,-122.3261,Mount Vernon,WA,Skagit County,98274,53057
48.5126,-122.6127,Anacortes,WA,Skagit County,98221,53057
45.5608,-94.1625,Saint Cloud,MN,Stearns County,56303,27145
41.1415,-73.3579,Westport,CT,Fairfield County,06880,09001
36.9903,-86.4436,Bowling Green,KY,Warren County,42101,21031
46.3389,-117.0464,Clarkston,WA,Asotin County,99403,53003
30.5788,-97.8531,Leander,TX,Williamson County,78641,48453
34.0577,-118.4553,Los Angeles,CA,Los Angeles County,90025,06037
33.4941,-111.926,Scottsdale,AZ,Maricopa County,85251,04013
35.7915,-78.7811,Cary,NC,Wake County,27513,37183
39.3317,-84.4072,West Chester,OH,Butler County,45069,39017
40.0931,-83.018,Worthington,OH,Franklin County,43085,39049
39.3884,-84.4538,Liberty Twp,OH,Butler County,45011,39017
40.419,-80.5895,Weirton,WV,Hancock County,26062,54009
36.9739,-122.0302,Santa Cruz,CA,Santa Cruz County,95060,06087
47.6739,-122.1215,Redmond,WA,King County,98052,53033
40.5855,-122.3904,Redding,CA,Shasta County,96001,06089
42.5084,-89.0318,Beloit,WI,Rock County,53511,55105
40.6662,-74.1935,Elizabeth,NJ,Union County,07201,34039
40.7584,-82.5155,Mansfield,OH,Richland County,44902,39139
41.45,-87.47,Saint John,IN,Lake County,46373,18089
43.642,-72.2524,Lebanon,NH,Grafton County,03766,33009
37.9823,-120.3822,Sonora,CA,Tuolumne County,95370,06109
44.0216,-92.4699,Rochester,MN,Olmsted County,55902,27109
41.1412,-73.2637,Fairfield,CT,Fairfield County,06824,09001
41.9142,-88.3087,Saint Charles,IL,Kane County,60174,17043
42.4501,-89.0631,Rockton,IL,Winnebago County,61072,17201
40.7308,-73.7958,Fresh Meadows,NY,Queens County,11365,36081
29.5636,-95.2861,Pearland,TX,Brazoria County,77581,48039
34.8298,-82.6015,Easley,SC,Pickens County,29640,45077
38.0529,-81.104,Fayetteville,WV,Fayette County,25840,54019
35.5643,-89.6465,Covington,TN,Tipton County,38019,47167
38.9989,-84.6266,Florence,KY,Boone County,41042,21015
39.0837,-84.5086,Covington,KY,Kenton County,41011,21117
43.1536,-93.2016,Mason City,IA,Cerro Gordo County,50401,19033
38.0405,-84.5043,Lexington,KY,Fayette County,40508,21067
32.2217,-110.9264,Tucson,AZ,Pima County,85716,04019
41.6106,-87.0642,Chesterton,IN,Porter County,46304,18127
44.4259,-69.0064,Belfast,ME,Waldo County,04915,23027
40.0456,-86.0086,Noblesville,IN,Hamilton County,46060,18057
34.1336,-117.9076,Azusa,CA,Los Angeles County,91702,06037
45.8167,-120.8167,Goldendale,WA,Klickitat County,98620,53039
